# Constructed from biom file
#OTU ID	I70B	I38D	I61C	I42D	I14	I67A	pcrnegcontrol3	I60A	I69D	I13	I39D	I68A	I70D	I53D	I43D	I15	I66D	I18	I67D	I66A	I43A	I39C	I17	I61B	I71A	I55D	I68D	I67C	I71D	I69A	I71C	I67B	I64A	I49B	I60B	I61D	I69B	I22	I69C	I37	I19	I60C	I73C	I43B	I50B	I62B	I39B	I71B	I30	I65B	I24	I65C	I5	I31	I49D	I49C	I74D	I72A	I62C	I73B	I64B	I16	I23	I50A	I25	I73D	I49A	I8	I40B	I29	I32	I72B	I62A	I72C	I34	I40D	I63D	pcrposcontrol3	I65A	I64D	I27	I40C	I60D	I68B	I26	pcrposcontrol2	I72D	I28	I50D	I20	I64C	I21	pcrposcontrol1	I73A	I43C
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;__;__;__;__	9526.0	0.0	14418.0	19310.0	0.0	1.0	0.0	245.0	733.0	0.0	0.0	16038.0	1.0	2.0	3.0	2470.0	600.0	0.0	1213.0	0.0	1.0	1.0	2.0	0.0	9.0	1.0	377.0	1.0	4777.0	0.0	5.0	21432.0	0.0	0.0	0.0	12173.0	664.0	1.0	0.0	4876.0	12758.0	0.0	4.0	3.0	0.0	32915.0	0.0	0.0	5903.0	1.0	1175.0	21994.0	0.0	2743.0	674.0	1.0	2351.0	1.0	1.0	0.0	14441.0	3993.0	1.0	0.0	9401.0	5076.0	562.0	0.0	1.0	50.0	1649.0	15.0	47647.0	199.0	14560.0	0.0	18067.0	459412.0	1.0	0.0	1115.0	0.0	15.0	0.0	4731.0	96360.0	10.0	7542.0	6.0	1027.0	8388.0	0.0	557584.0	2.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Acropomatiformes;D_4__Champsodontidae;D_5__Champsodon;D_6__Champsodon.cf__snyderi.CBM-ZF.10876	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Acropomatiformes;D_4__Malakichthyidae;D_5__Malakichthys;D_6__Malakichthys.griseus	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Lutjaniformes;D_4__Lutjanidae;__;__	1.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	711.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	221.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	788.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Unassigned;__;__;__;__;__;__	14.0	92.0	72.0	139.0	34.0	4466.0	1.0	17.0	47.0	14.0	25.0	23.0	59.0	132.0	65.0	19.0	29.0	25.0	47.0	27.0	177.0	91.0	25.0	6924.0	84.0	83.0	2.0	54.0	40.0	50.0	95.0	121.0	0.0	0.0	146.0	5371.0	48.0	257.0	166.0	12.0	352.0	72.0	40.0	59.0	3.0	54.0	102.0	42.0	153.0	55.0	126.0	151.0	155.0	129.0	14.0	7.0	2.0	133.0	59.0	4.0	9.0	604.0	222.0	7.0	132.0	94.0	11.0	7.0	28.0	234.0	517.0	133.0	78.0	274.0	81.0	1.0	424.0	174.0	61.0	0.0	94.0	46.0	824.0	2.0	60.0	170.0	223.0	2853.0	51.0	163.0	16513.0	469.0	1908.0	10.0	56.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Kurtiformes;D_4__Apogonidae;__;__	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14033.0	0.0	0.0	0.0	6677.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	2478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	4.0	1336.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Cichliformes;D_4__Cichlidae;__;__	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Perciformes;__;__;__	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6778.0	0.0	1549.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	5231.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	3.0	1.0	13888.0	0.0	0.0	2.0	0.0	1.0	6109.0	0.0	7581.0	3.0	0.0	60.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	51088.0	51387.0	0.0	0.0	0.0	165326.0	0.0	0.0	0.0	1.0	6896.0	0.0	0.0	1.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	3479.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__;D_4__Siganidae;D_5__Siganus;__	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Chondrichthyes;D_3__Squaliformes;D_4__Etmopteridae;D_5__Etmopterus;__	0.0	10056.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Spariformes;D_4__Sparidae;D_5__Dentex;__	0.0	12519.0	0.0	0.0	0.0	0.0	0.0	507.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	20775.0	1.0	9190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4870.0	0.0	0.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7122.0	0.0	764.0	4115.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	0.0	7.0	0.0	11038.0	0.0	0.0	0.0	0.0	1184.0	0.0	0.0	1.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Chondrichthyes;D_3__Squaliformes;D_4__Etmopteridae;D_5__Etmopterus;D_6__Etmopterus.bigelowi	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Spariformes;D_4__Sparidae;__;__	0.0	27.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3675.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	8667.0	72.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	13.0	0.0	0.0	653.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Aulopiformes;D_4__Paralepididae;D_5__Lestidium;D_6__Lestidium.atlanticum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Spariformes;D_4__Sparidae;D_5__Pagrus;D_6__Pagrus.major	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Spariformes;D_4__Sparidae;D_5__Dentex;D_6__Dentex.hypselosomus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Spariformes;D_4__Sparidae;D_5__Dentex;D_6__Dentex.carpenteri	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Myctophiformes;D_4__Myctophidae;D_5__Diaphus;__	0.0	3.0	0.0	2.0	0.0	0.0	0.0	938.0	0.0	0.0	2503.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2008.0	0.0	0.0	29359.0	0.0	0.0	58045.0	0.0	0.0	0.0	1183.0	0.0	0.0	0.0	0.0	1958.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16507.0	0.0	0.0	5398.0	5518.0	0.0	0.0	1421.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	177843.0	0.0	1.0	0.0	0.0	0.0	2.0	3935.0	1.0	62108.0	1.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Chondrichthyes;D_3__Squaliformes;D_4__Etmopteridae;D_5__Etmopterus;D_6__Etmopterus.cf__brachyurus.NS-2010	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Perciformes;D_4__Platycephalidae;D_5__Onigocia;__	0.0	0.0	5296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2869.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Clupeiformes;D_4__Engraulidae;D_5__Engraulis;__	0.0	0.0	4706.0	1.0	0.0	2164.0	6.0	0.0	29912.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3627.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	6819.0	0.0	0.0	22568.0	2.0	14335.0	0.0	0.0	1.0	2.0	19000.0	0.0	101165.0	4274.0	0.0	1.0	3.0	2.0	0.0	14.0	0.0	0.0	4927.0	43810.0	0.0	98332.0	0.0	8205.0	0.0	1.0	1.0	44881.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	2857.0	0.0	0.0	3011.0	1254.0	6305.0	0.0	15208.0	0.0	0.0	0.0	0.0	30508.0	0.0	40410.0	0.0	0.0	0.0	0.0	0.0	1421.0	1060.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Gadiformes;D_4__Bregmacerotidae;D_5__Bregmaceros;__	0.0	0.0	2129.0	0.0	0.0	1.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1956.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	365.0	0.0	35872.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	2711.0	0.0	432.0	0.0	10.0	44.0	11069.0	0.0	0.0	25241.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Syngnathiformes;D_4__Mullidae;D_5__Parupeneus;D_6__Parupeneus.chrysopleuron	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	16.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	71.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Eukaryota;D_1__Chordata;D_2__Actinopteri;D_3__Syngnathiformes;D_4__Mullidae;D_5__Parupeneus;__	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	22.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
